key,originalName,tags
JOR-632B67270147-343B92100815-X-250066,Bā’ir,"{'GNS:dsg_code': 'PPL', 'GNS:dsg_name': 'populated place', 'GNS:id': '183856', 'int_name': 'Al Amghar', 'name': 'الأمغر', 'name:ar': 'الأمغر', 'name:de': 'Al Amghar', 'name:en': 'Al Amghar', 'name:fr': 'Al Amghar', 'place': 'hamlet', 'source:name': 'GNS'}"
JOR-632B67270147-343B92100815-X-250066,Bā’ir,"{'GNS:dsg_code': 'PPLL', 'GNS:dsg_name': 'populated locality', 'GNS:id': '184253', 'int_name': 'Ar Ridīfah', 'name': 'الرديفة', 'name:ar': 'الرديفة', 'name:de': 'Ar Ridifah', 'name:en': 'Ar Ridifah', 'name:fr': 'Ar Ridifah', 'place': 'hamlet'}"
JOR-632B67270147-343B92100815-X-250066,Bā’ir,"{'GNS:dsg_code': 'PPL', 'GNS:dsg_name': 'populated place', 'GNS:id': '180860', 'int_name': 'Jimājim', 'name': 'جماجم', 'name:ar': 'جماجم', 'name:de': 'Jimajim', 'name:en': 'Jimajim', 'name:fr': 'Jimajim', 'place': 'village', 'source:name': 'GNS'}"
JOR-632B67270147-343B92100815-X-250066,Bā’ir,"{'GNS:dsg_code': 'PPLL', 'GNS:dsg_name': 'populated locality', 'GNS:id': '183855', 'int_name': 'Fiyāḑ Qulayyib Khuḑr', 'name': 'فياض قليب خضر', 'name:ar': 'فياض قليب خضر', 'name:de': 'Fiyad Qulayyib Khudr', 'name:en': 'Fiyad Qulayyib Khudr', 'name:fr': 'Fiyad Qulayyib Khudr', 'place': 'hamlet'}"
JOR-632B67270147-343B92100815-X-250066,Bā’ir,"{'GNS:dsg_code': 'PPL', 'GNS:dsg_name': 'populated place', 'GNS:id': '183851', 'int_name': 'Qulayyib Khuḑr', 'name': 'قليب خضر', 'name:ar': 'قليب خضر', 'name:de': 'Qulayyib Khudr', 'name:en': 'Qulayyib Khudr', 'name:fr': 'Qulayyib Khudr', 'place': 'village'}"
JOR-632B67270147-343B92100815-X-250066,Bā’ir,"{'GNS:dsg_code': 'PPL', 'GNS:dsg_name': 'populated place', 'GNS:id': '180862', 'alt_name': 'An Nasfah; An Nāşfah', 'int_name': 'An Nāşifah', 'name': 'الناصفة', 'name:ar': 'الناصفة', 'name:de': 'An Nasifah', 'name:en': 'An Nasifah', 'name:fr': 'An Nasifah', 'place': 'village'}"
JOR-632B67270147-343B92100815-X-250066,Bā’ir,"{'GNS:dsg_code': 'PPL', 'GNS:dsg_name': 'populated place', 'GNS:id': '181487', 'int_name': 'Qarāqir', 'name': 'قراقر', 'name:ar': 'قراقر', 'name:de': 'Qaraqir', 'name:en': 'Qaraqir', 'name:fr': 'Qaraqir', 'place': 'village', 'source:name': 'GNS'}"
JOR-632B67270147-343B92100815-X-250066,Bā’ir,"{'GNS:dsg_code': 'PPL', 'GNS:dsg_name': 'populated place', 'GNS:id': '-3091890', 'alt_name': 'Al Mukhaydir; Al Mukhāydir', 'int_name': 'Al ‘Īsāwīyah', 'name': 'العيساوية', 'name:ar': 'العيساوية', 'name:de': 'Al `Isawiyah', 'name:en': 'Al `Isawiyah', 'name:fr': 'Al `Isawiyah', 'place': 'town', 'population': '5629', 'population:date': '2010', 'source:population': 'stats.gov.sa'}"
JOR-632B67270147-343B92100815-X-250066,Bā’ir,"{'name': 'قليب خضر', 'place': 'village'}"
JOR-632B67270147-343B92100815-X-250066,Bā’ir,"{'name': 'الشيدية', 'name:en': 'Shidiya', 'place': 'village'}"
JOR-632B98972752-343B91729633-X-10688272,Al Aratayn,"{'name': 'الصفاوي', 'name:ar': 'الصفاوي', 'name:de': 'Safawi', 'name:en': 'Safawi', 'name:fr': 'Safawi', 'name:he': 'א-ספאווי', 'place': 'town', 'wikidata': 'Q7398417', 'wikipedia': 'en:Safawi, Jordan'}"
JOR-632B68275430-343B11419780-X-11242591,Al Mushrifah,"{'name': 'الوالة', 'place': 'village'}"
JOR-632B68275430-343B11419780-X-11242591,Al Mushrifah,"{'name': 'المشرفة', 'place': 'village'}"
JOR-632B77728443-343B93615180-X-245934,Yublā,"{'name': 'الكفارات', 'place': 'village'}"
JOR-632B82459032-343B95147523-X-11265392,Ḩayy al Ḩammūd,"{'int_name': 'El Shun; Al Shun; Shuna', 'is_in': 'Jordan, الأردن', 'name': 'الشونة', 'name:ar': 'الشونة', 'name:de': 'Al Shun', 'name:en': 'Al Shun', 'name:fr': 'Al Shun', 'place': 'village'}"
JOR-632B82459032-343B95147523-X-11265392,Ḩayy al Ḩammūd,"{'int_name': 'Shūnat Nimrīn; Shunat Nimrin', 'is_in': 'Jordan, الأردن', 'name': 'شونة نمرين', 'name:ar': 'شونة نمرين', 'name:de': 'Shunat Nimrin', 'name:en': 'Shunat Nimrin', 'name:fr': 'Shunat Nimrin', 'place': 'village'}"
JOR-632B82459032-343B95147523-X-11265392,Ḩayy al Ḩammūd,"{'name': 'الشونة الوسطى', 'place': 'village'}"
JOR-632B97166968-343B75861357-X-12140975,Umm Hillāl,"{'name': 'فقوع', 'place': 'village'}"
JOR-632B11138086-343B19356030-X-246418,Umm al ‘Amad,"{'int_name': 'Um el ‘Amad; Um al Amad', 'is_in': 'Jordan, الأردن', 'name': 'أم العمد', 'name:ar': 'أم العمد', 'name:de': 'Um al Amad', 'name:en': 'Um al Amad', 'name:fr': 'Um al Amad', 'place': 'village'}"
JOR-632B82459032-343B14456177-X-250449,Al Yazīdīyah,"{'int_name': 'Khirbat el Yazidiya; Khirbat al Yazidiya', 'is_in': 'Jordan, الأردن', 'name': 'خربة اليزيدية', 'name:ar': 'خربة اليزيدية', 'name:de': 'Khirbat al Yazidiya', 'name:en': 'Khirbat al Yazidiya', 'name:fr': 'Khirbat al Yazidiya', 'place': 'village'}"
JOR-632B75121501-343B62933874-X-249685,Dayr aş Şamādīyah al Janūbī,"{'name': 'دير صمادية شمالي', 'place': 'village'}"
JOR-632B75121501-343B62933874-X-249685,Dayr aş Şamādīyah al Janūbī,"{'name': 'دير صمادية جنوبي', 'place': 'village'}"
JOR-632B75121501-343B85919674-X-11263879,Thughrat Zubayd,"{'is_in': 'Jordan, الأردن', 'name': 'الرويحة', 'name:ar': 'الرويحة', 'name:de': 'Al Ruwayhah', 'name:en': 'Al Ruwayhah', 'name:fr': 'Al Ruwayhah', 'place': 'village'}"
JOR-632B68275430-343B93634177-X-248422,Al Ma’mūnīyah,"{'int_name': 'Qaryat el Jureina; Qaryat al Jureina', 'is_in': 'Jordan, الأردن', 'name': 'جرينة', 'name:ar': 'جرينة', 'name:de': 'Qaryat al Jureina', 'name:en': 'Qaryat al Jureina', 'name:fr': 'Qaryat al Jureina', 'place': 'village'}"
