key,en,ar,sw
UGA-835B90444989-248B83956705-X-233348,Gulamubiri,,
UGA-835B62483631-248B17370645-X-233452,Gamba,,
UGA-835B72727119-248B27334734-X-234038,Busoro,,
UGA-835B90444989-248B82213670-X-232852,Kafu,,
UGA-835B90444989-248B10054761-X-230314,Kyelim,,
UGA-835B90444989-248B73075066-X-231980,Kasozi,,
UGA-835B72727119-248B24486432-X-8080807,Kitabona,,
UGA-835B62483631-248B76507783-X-226669,Rubu,,
UGA-835B62483631-248B1952876-X-233598,Degiya,,
UGA-835B399901-248B95499298-X-229158,Misigi,,
UGA-835B90444989-248B14563818-X-228830,Mulagi,,
UGA-835B399901-248B17886695-X-228092,Namuzikiza,,
UGA-835B90444989-248B76429590-X-227980,Nawaikona,,
UGA-835B90444989-248B44522655-X-227916,Ndolwa,,
UGA-835B399901-248B56974785-X-230433,Kyamungu,,
UGA-835B72727119-248B64889535-X-228801,Mungenyi,,
UGA-835B399901-248B53396261-X-232003,Kasolokamponye,,
UGA-835B90444989-248B13190684-X-235138,Anyidi,,
UGA-835B90444989-248B7038503-X-229520,Magola,,
UGA-835B399901-248B53396261-X-228423,Nakaseta,,
UGA-835B72727119-248B10909535-X-226683,Rubaya,,
UGA-835B399901-248B53396261-X-231428,Kigondo,,
UGA-835B399901-248B35171115-X-11552601,Kalagala,,
UGA-835B399901-248B41672687-X-230863,Kitontogolo,,
UGA-835B399901-248B95499298-X-225809,Zira,,
UGA-835B90444989-248B9362581-X-234963,Aukot,,
UGA-835B62483631-248B76507783-X-235573,Abiria,,
UGA-835B62483631-248B53713105-X-234935,Awilodyang,,
UGA-835B399901-248B43617230-X-230464,Kyambogo,,
UGA-835B90444989-248B30333619-X-227814,Njereka,,
UGA-835B62483631-248B53713105-X-233702,Chakali,,
UGA-835B90444989-248B23825673-X-227083,Olupe,,
UGA-835B72727119-248B55263443-X-232010,Kasokero,,
UGA-835B72727119-248B22284724-X-233654,Chitwe,,
UGA-835B90444989-248B44522655-X-233226,Inula,,
UGA-835B62483631-248B19687453-X-8142214,Ewafa,,
UGA-835B90444989-248B9362581-X-235514,Adacari,,
UGA-835B72727119-248B40875009-X-8261625,Kijumbura,,
UGA-835B399901-248B43617230-X-11357527,Mpala,,
UGA-835B90444989-248B44522655-X-448269,Bukungu,,
UGA-835B399901-248B82542525-X-226035,Vumba,,
UGA-835B62483631-248B97714136-X-229148,Mite,,
UGA-835B72727119-248B68441118-X-226693,Rubabu,,
UGA-835B399901-248B41672687-X-226016,Wabisi,,
UGA-835B90444989-248B73075066-X-234471,Buiza,,
UGA-835B399901-248B41672687-X-234444,Bukabi,,
UGA-835B399901-248B56974785-X-229841,Lukumbi,,
UGA-835B62483631-248B53713105-X-235553,Abutokom,,
UGA-835B62483631-248B97714136-X-230596,Kulu,,
UGA-835B62483631-248B97714136-X-230596,Kulu,,
UGA-835B72727119-248B93744651-X-231588,Kibangya,,
UGA-835B90444989-248B30333619-X-231085,Kiryamuli,,
UGA-835B62483631-248B1366518-X-235178,Anaka,,
UGA-835B399901-248B16684636-X-232126,Kasambya,,
UGA-835B399901-248B43617230-X-11357532,Bufulu,,
UGA-835B62483631-248B22721600-X-227001,Ongako,,
UGA-835B90444989-248B7038503-X-234142,Bupala,,
UGA-835B62483631-248B53713105-X-226174,Teboke,,
UGA-835B62483631-248B4727943-X-8142099,Niatoli,,
UGA-835B399901-248B43617230-X-11552540,Sanda,,
UGA-835B62483631-248B1952876-X-8081186,Balala,,
UGA-835B72727119-248B93744651-X-8079566,Kihaguzi,,
UGA-835B399901-248B16684636-X-232623,Kakukulu,,
UGA-835B399901-248B86094061-X-228887,Mujulugo,,
UGA-835B72727119-248B18277021-X-231046,Kiseke,,
UGA-835B72727119-248B24486432-X-8080803,Bulyango,,
UGA-835B72727119-248B68441118-X-230963,Kisya,,
UGA-835B90444989-248B76429590-X-228299,Naluko,,
UGA-835B399901-248B56974785-X-230766,Kiyotosi,,
UGA-835B90444989-248B28140071-X-11553233,Kalungami,,
UGA-835B399901-248B96052226-X-232765,Kagwire,,
UGA-835B399901-248B41672687-X-8197296,Kisalizi,,
UGA-835B90444989-248B7038503-X-234648,Bude,,
UGA-835B90444989-248B7496301-X-234567,Buginyanya,,
UGA-835B72727119-248B29446119-X-228724,Musunga,,
UGA-835B90444989-248B31404622-X-11259441,Nakudi,,
UGA-835B72727119-248B68441118-X-227017,Omuruyenzhe,,
UGA-835B62483631-248B76507783-X-230609,Koyi,,
UGA-835B399901-248B65015395-X-230278,Kyetume,,
UGA-835B399901-248B82542525-X-230537,Kyabasita,,
UGA-835B90444989-248B76429590-X-228488,Naisamula,,
UGA-835B399901-248B96313032-X-234271,Buligi,,
UGA-835B62483631-248B66883627-X-232601,Kakwanga,,
UGA-835B62483631-248B43395743-X-8080967,Panyilo,,
UGA-835B90444989-248B30333619-X-234640,Budondo,,
UGA-835B62483631-248B10059782-X-8081144,Aguli,,
UGA-835B72727119-248B40875009-X-232317,Kankoba,,
UGA-835B399901-248B53396261-X-231367,Kijaguzo,,
UGA-835B399901-248B95499298-X-231587,Kibanyi,,
UGA-835B90444989-248B44522655-X-226759,Pingire,,
UGA-835B399901-248B25648789-X-232102,Kasasa,,
UGA-835B62483631-248B46493380-X-235176,Anamido,,
UGA-835B62483631-248B83712907-X-229802,Lurujo,,
UGA-835B399901-248B6818238-X-233974,Butembe,,
UGA-835B72727119-248B56602730-X-227343,Nyarutoma,,
UGA-835B399901-248B93930045-X-232154,Kasaka,,
UGA-835B399901-248B45584877-X-229624,Lwensinga,,
UGA-835B62483631-248B5396527-X-233554,Dufile,,
UGA-835B90444989-248B16310707-X-227157,Okocho,,
UGA-835B72727119-248B24486432-X-8081128,Kapapi,,
UGA-835B399901-248B17886695-X-231330,Kikalala,,
UGA-835B90444989-248B60627701-X-231156,Kirewa,,
UGA-835B90444989-248B41977713-X-234397,Bukhubalo,,
